# ayil_sim_dt version=3
# date=20191025 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:50Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.149887459,52,2026-05-26T15:57:50Z
60,1.176536344,51,2026-05-26T15:57:50Z
120,1.176463068,51,2026-05-26T15:57:50Z
180,1.153915644,52,2026-05-26T15:57:50Z
240,1.153820002,52,2026-05-26T15:57:50Z
300,1.132174737,53,2026-05-26T15:57:50Z
360,1.132040060,53,2026-05-26T15:57:50Z
420,1.111346994,54,2026-05-26T15:57:50Z
480,1.111094158,54,2026-05-26T15:57:50Z
540,1.111111968,54,2026-05-26T15:57:50Z
600,1.090940702,55,2026-05-26T15:57:50Z
660,1.090914562,55,2026-05-26T15:57:50Z
720,1.071887278,56,2026-05-26T15:57:50Z
780,1.071473830,56,2026-05-26T15:57:50Z
840,1.053752067,57,2026-05-26T15:57:50Z
900,1.052631513,57,2026-05-26T15:57:50Z
960,1.035165216,58,2026-05-26T15:57:50Z
1020,1.034542908,58,2026-05-26T15:57:50Z
1080,1.034483657,58,2026-05-26T15:57:50Z
1140,1.016949185,59,2026-05-26T15:57:50Z
1200,1.016967970,59,2026-05-26T15:57:50Z
1260,1.000636042,60,2026-05-26T15:57:50Z
1320,1.000000261,60,2026-05-26T15:57:50Z
1380,0.999969287,60,2026-05-26T15:57:50Z
1440,0.999998244,60,2026-05-26T15:57:50Z
1500,0.983702259,61,2026-05-26T15:57:50Z
1560,0.983576876,61,2026-05-26T15:57:50Z
1620,0.983601815,61,2026-05-26T15:57:50Z
1680,0.983573684,61,2026-05-26T15:57:50Z
1740,0.967683167,63,2026-05-26T15:57:50Z
1800,0.967697344,62,2026-05-26T15:57:50Z
1860,0.967721027,62,2026-05-26T15:57:50Z
1920,0.967742002,62,2026-05-26T15:57:50Z
1980,0.967738599,62,2026-05-26T15:57:50Z
2040,0.952380920,63,2026-05-26T15:57:50Z
2100,0.952537156,63,2026-05-26T15:57:50Z
2160,0.952297456,63,2026-05-26T15:57:50Z
2220,0.952397883,63,2026-05-26T15:57:50Z
2280,0.952402283,63,2026-05-26T15:57:50Z
2340,0.952394186,63,2026-05-26T15:57:50Z
2400,0.952389004,63,2026-05-26T15:57:50Z
2460,0.952375030,63,2026-05-26T15:57:50Z
2520,0.952381601,63,2026-05-26T15:57:50Z
2580,0.938032898,64,2026-05-26T15:57:50Z
2640,0.937605670,64,2026-05-26T15:57:50Z
2700,0.937246791,64,2026-05-26T15:57:50Z
2760,0.937368442,64,2026-05-26T15:57:50Z
2820,0.937533134,64,2026-05-26T15:57:50Z
2880,0.937473496,64,2026-05-26T15:57:50Z
2940,0.937541910,64,2026-05-26T15:57:50Z
3000,0.937533848,64,2026-05-26T15:57:50Z
3060,0.937544516,64,2026-05-26T15:57:50Z
3120,0.937475549,64,2026-05-26T15:57:50Z
3180,0.937541789,64,2026-05-26T15:57:50Z
3240,0.937509252,64,2026-05-26T15:57:50Z
3300,0.937484483,64,2026-05-26T15:57:50Z
3360,0.937527392,64,2026-05-26T15:57:50Z
3420,0.937518630,64,2026-05-26T15:57:50Z
3480,0.937485410,64,2026-05-26T15:57:50Z
3540,0.937485410,64,2026-05-26T15:57:50Z
3600,0.937484763,64,2026-05-26T15:57:50Z
3660,0.937500000,64,2026-05-26T15:57:50Z
3720,0.940000000,59,2026-05-26T15:57:50Z
